county_fips,totalvotes,candidatevotes
"20083","1045","154"
"40105","4391","712"
"19067","8032","3172"
"55121","15380","6285"
"31013","5181","1051"
"16069","20967","6686"
"18041","10136","2237"
"31117","302","17"
"48145","6133","1899"
"26031","15868","5437"
"13259","1990","1182"
"37161","34429","9135"
"28013","6590","1902"
"27101","4896","1449"
"2030","10176","2638"
"8023","2094","1311"
"48107","1953","527"
"31039","4451","870"
"48379","6053","842"
"48411","2602","287"
"19143","3328","601"
"5147","2476","856"
"29221","9976","1804"
"1097","183164","79474"
"17051","10056","1826"
"21031","6122","1079"
"51037","6191","2317"
"38023","1202","265"
"5073","2679","839"
"29039","7044","1145"
"30009","7052","2421"
"47163","74357","17272"
"20185","2034","357"
"41055","1208","260"
"37197","19923","3763"
"48341","5508","1062"
"28007","8823","3542"
"46107","1380","227"
"23021","9996","3517"
"29067","7000","1016"
"24041","22555","11062"
"12087","48029","21881"
"27025","34570","11806"
"22075","11014","3414"
"35045","52294","18083"
"36029","476787","267174"
"20141","1945","281"
"27113","7277","2568"
"38043","1460","221"
"22113","27324","5009"
"38059","16619","3872"
"18113","19190","4660"
"37185","10293","6400"
"6039","53732","23168"
"46069","710","136"
"19051","4102","1013"
"20187","776","148"
"35021","505","179"
"42121","26528","7585"
"20167","3467","600"
"45071","18631","6958"
"42059","17669","4911"
"4017","51767","23383"
"28163","10436","5496"
"19031","10703","4337"
"40003","2262","232"
"21117","82108","32265"
"51081","4574","2627"
"26021","82391","37438"
"46123","2696","495"
"39059","18230","4577"
"37189","32220","17122"
"39047","12612","2975"
"8027","3635","1112"
"51033","16288","7657"
"31077","1258","229"
"47021","20260","5514"
"44009","76060","44549"
"42027","77493","40055"
"47181","6669","820"
"48081","1779","178"
"18055","14784","3389"
"31135","1544","199"
"53015","60280","23938"
"39037","27134","4731"
"51115","5829","1825"
"5131","47140","14487"
"22017","104912","55110"
"1101","99139","64529"
"29033","4532","786"
"27135","8421","2188"
"51125","9318","4327"
"26085","6323","2288"
"8073","2651","470"
"20193","3810","625"
"31057","999","105"
"45087","13257","4935"
"48021","36665","15474"
"42077","184713","98288"
"5009","17114","3064"
"37193","35466","7511"
"30087","3773","1199"
"31115","454","75"
"26039","7861","2672"
"13295","29354","5769"
"18057","193999","88390"
"28071","23423","10070"
"39131","12412","3110"
"30025","1575","172"
"12021","207818","77621"
"12047","5830","1963"
"42115","21752","6236"
"51087","183299","116572"
"19109","9090","2696"
"55071","44829","16818"
"49039","12625","1794"
"12083","204376","74858"
"13251","6628","2661"
"26057","19127","6693"
"27167","3430","1026"
"30089","7622","1820"
"48283","2406","1052"
"53071","31261","13690"
"48171","15850","3176"
"42055","80783","22422"
"40065","8221","1646"
"48507","4379","2864"
"20119","1825","263"
"40085","4076","711"
"13143","14248","1792"
"21107","21509","5439"
"46027","5698","3083"
"22089","28517","9800"
"31129","2303","409"
"36117","45031","17456"
"27159","7677","2023"
"39145","32047","9080"
"40127","4739","668"
"19155","45744","18575"
"29079","4437","799"
"53073","138620","83660"
"27131","35686","17402"
"17155","3390","1338"
"24009","49113","22587"
"16073","4742","816"
"20113","14438","4134"
"55009","144017","65511"
"51117","16207","6803"
"51061","43671","17565"
"10003","287633","195034"
"42051","62139","20444"
"42019","113305","37508"
"18003","169082","73189"
"1009","27588","2640"
"28123","10733","4330"
"5007","119912","42249"
"56019","4952","897"
"27067","23367","8440"
"17133","21148","6569"
"5125","56959","16060"
