county_name,county_fips,totalvotes,year,population,candidatevotes,area,state_po
HODGEMAN,"20083","1088","2000","1737","217",859.992,KS
NOWATA,"40105","3849","2000","9320","1703",565.817,OK
FLOYD,"19067","7238","2000","15604","3830",500.571,IA
TREMPEALEAU,"55121","12168","2000","30818","6678",732.966,WI
BOX BUTTE,"31013","5089","2000","10828","1614",1075.161,NE
NEZ PERCE,"16069","16021","2000","42145","4995",848.32,ID
FAYETTE,"18041","8647","2000","23359","3415",215.021,IN
MCPHERSON,"31117","301","2000","397","48",859.259,NE
FALLS,"48145","5715","2000","16960","2417",765.495,TX
CHEBOYGAN,"26031","12617","2000","25587","5484",715.279,MI
STEWART,"13259","1954","2000","5303","1267",458.766,GA
RUTHERFORD,"37161","21716","2000","64486","7697",565.437,NC
CALHOUN,"28013","5758","2000","13219","2251",586.573,MS
MURRAY,"27101","4753","2000","8166","2093",704.667,MN
DISTRICT 30,"2030","6083","2000",,"1698",,AK
COSTILLA,"8023","1648","2000","3502","1054",1227.593,CO
CROSBY,"48107","2002","2000","5098","705",900.199,TX
CUMING,"31039","4215","2000","9009","857",570.49,NE
RAINS,"48379","3333","2000","12175","1225",229.49,TX
SAN SABA,"48411","2333","2000","5727","618",1135.313,TX
OSCEOLA,"19143","3063","2000","6198","913",398.687,IA
WOODRUFF,"5147","2651","2000","6224","1699",585.973,AR
WASHINGTON,"29221","8265","2000","23424","4047",759.866,MO
MOBILE,"1097","139745","2000","414377","58640",1229.38,AL
FAYETTE,"17051","9338","2000","21490","3886",716.443,IL
BUTLER,"21031","5010","2000","12316","1299",426.112,KY
CHARLOTTE,"51037","4994","2000","11542","2017",475.296,VA
DIVIDE,"38023","794","2000","2205","306",1261.13,ND
LAFAYETTE,"5073","3383","2000","6293","1806",529.472,AR
CEDAR,"29039","5663","2000","14212","1979",474.47,MO
CARBON,"30009","4789","2000","10505","1434",2047.889,MT
SULLIVAN,"47163","55727","2000","158246","21354",413.544,TN
STAFFORD,"20185","2200","2000","4049","567",792.046,KS
SHERMAN,"41055","1062","2000","1871","326",823.614,OR
YADKIN,"37197","13682","2000","37254","3127",334.943,NC
MOORE,"48341","5290","2000","21264","1040",899.698,TX
ATTALA,"28007","7173","2000","17818","2922",734.957,MS
POTTER,"46107","1494","2000","2473","356",861.138,SD
PISCATAQUIS,"23021","9256","2000","16808","3745",3960.847,ME
DOUGLAS,"29067","5281","2000","11606","1546",813.623,MO
TALBOT,"24041","15234","2000","37488","5854",268.556,MD
MONROE,"12087","33896","2000","82847","16483",983.034,FL
CHISAGO,"27025","21987","2000","56716","9593",414.901,MN
PLAQUEMINES,"22075","10931","2000","23460","4425",780.595,LA
SAN JUAN,"35045","34657","2000","121376","11980",5517.232,NM
ERIE,"36029","424654","2000","952342","240176",1042.763,NY
OSBORNE,"20141","2030","2000","3490","484",892.516,KS
PENNINGTON,"27113","6320","2000","13943","2458",616.52,MN
KIDDER,"38043","1276","2000","2382","283",1351.062,ND
VERMILION,"22113","22235","2000","56956","8704",1172.055,LA
MORTON,"38059","11223","2000","33315","3439",1925.888,ND
NOBLE,"18113","14216","2000","47460","4822",410.843,IN
WARREN,"37185","6795","2000","18596","4576",429.392,NC
MADERA,"6039","33395","2000","156345","11650",2136.709,CA
HYDE,"46069","835","2000","1250","218",860.629,SD
DAVIS,"19051","3758","2000","9111","1691",502.188,IA
STANTON,"20187","1029","2000","2084","215",680.352,KS
HARDING,"35021","593","2000","653","214",2125.478,NM
